,users,time,connected
0,20,0.0,20.0
0,20,10.0,20.0
0,20,20.0,19.0
0,20,30.0,17.0
0,20,40.0,14.0
0,20,50.0,12.0
0,20,60.0,11.0
0,20,70.0,10.0
0,20,80.0,10.0
0,20,90.0,10.0
0,20,100.0,5.0
0,20,110.0,5.0
0,20,120.0,4.0
0,20,130.0,3.0
0,20,140.0,3.0
0,20,150.0,2.0
0,20,160.0,1.0
0,20,164.0,0.0
0,40,0.0,40.0
0,40,10.0,40.0
0,40,20.0,39.0
0,40,30.0,38.0
0,40,40.0,37.0
0,40,50.0,35.0
0,40,60.0,33.0
0,40,70.0,27.0
0,40,80.0,23.0
0,40,90.0,20.0
0,40,100.0,15.0
0,40,110.0,14.0
0,40,120.0,10.0
0,40,130.0,8.0
0,40,140.0,4.0
0,40,150.0,3.0
0,40,160.0,2.0
0,40,170.0,1.0
0,40,180.0,1.0
0,40,190.0,1.0
0,40,200.0,0.0
0,80,0.0,80.0
0,80,10.0,80.0
0,80,20.0,80.0
0,80,30.0,77.0
0,80,40.0,72.0
0,80,50.0,65.0
0,80,60.0,61.0
0,80,70.0,53.0
0,80,80.0,48.0
0,80,90.0,34.0
0,80,100.0,28.0
0,80,110.0,23.0
0,80,120.0,21.0
0,80,130.0,14.0
0,80,140.0,9.0
0,80,150.0,5.0
0,80,160.0,5.0
0,80,170.0,4.0
0,80,180.0,4.0
0,80,190.0,2.0
0,80,200.0,2.0
0,80,210.0,2.0
0,80,220.0,1.0
0,80,230.0,1.0
0,80,240.0,1.0
0,80,250.0,1.0
0,80,260.0,1.0
0,80,270.0,1.0
0,80,280.0,1.0
0,80,290.0,1.0
0,80,300.0,1.0
0,80,310.0,1.0
0,80,320.0,1.0
0,80,330.0,0.0
0,160,0.0,80.0
0,160,10.0,160.0
0,160,20.0,160.0
0,160,30.0,160.0
0,160,40.0,158.0
0,160,50.0,153.0
0,160,60.0,150.0
0,160,70.0,139.0
0,160,80.0,136.0
0,160,90.0,124.0
0,160,100.0,110.0
0,160,110.0,102.0
0,160,120.0,91.0
0,160,130.0,73.0
0,160,140.0,61.0
0,160,150.0,46.0
0,160,160.0,35.0
0,160,170.0,26.0
0,160,180.0,22.0
0,160,190.0,16.0
0,160,200.0,11.0
0,160,210.0,8.0
0,160,220.0,6.0
0,160,230.0,5.0
0,160,240.0,4.0
0,160,250.0,2.0
0,160,260.0,2.0
0,160,270.0,1.0
0,160,280.0,1.0
0,160,288.0,0.0
0,320,0.0,84.0
0,320,10.0,192.0
0,320,20.0,277.0
0,320,30.0,318.0
0,320,40.0,317.0
0,320,50.0,316.0
0,320,60.0,314.0
0,320,70.0,308.0
0,320,80.0,303.0
0,320,90.0,291.0
0,320,100.0,280.0
0,320,110.0,267.0
0,320,120.0,244.0
0,320,130.0,239.0
0,320,140.0,213.0
0,320,150.0,198.0
0,320,160.0,183.0
0,320,170.0,166.0
0,320,180.0,143.0
0,320,190.0,131.0
0,320,200.0,108.0
0,320,210.0,84.0
0,320,220.0,61.0
0,320,230.0,46.0
0,320,240.0,35.0
0,320,250.0,29.0
0,320,260.0,22.0
0,320,270.0,19.0
0,320,280.0,13.0
0,320,290.0,10.0
0,320,300.0,8.0
0,320,310.0,8.0
0,320,320.0,3.0
0,320,330.0,2.0
0,320,340.0,1.0
0,320,350.0,1.0
0,320,360.0,1.0
0,320,370.0,1.0
0,320,380.0,1.0
0,320,390.0,1.0
0,320,400.0,1.0
0,320,410.0,0.0
